	0	1	2	3	4	5	6	7	8	9
1490	26,568	26,583	26,599	26,614	26,629	26,645	26,660	26,676	26,691	26,707
1500	26,722	26,738	26,753	26,768	26,784	26,799	26,815	26,830	26,845	26,861
1510	26,876	26,892	26,907	26,922	26,938	26,953	26,968	26,984	26,999	27,014
1520	27,030	27,045	27,060	27,076	27,091	27,106	27,121	27,137	27,152	27,167
1530	27,183	27,198	27,213	27,228	27,244	27,259	27,274	27,289	27,304	27,320
1540	27,335	27,350	27,365	27,380	27,396	27,411	27,426	27,441	27,456	27,471
1550	27,486	27,502	27,517	27,532	27,547	27,562	27,577	27,592	27,607	27,622
1560	27,637	27,653	27,668	27,683	27,698	27,713	27,728	27,743	27,758	27,773
1570	27,788	27,803	27,818	27,833	27,848	27,863	27,878	27,893	27,908	27,923
1580	27,938	27,953	27,968	27,983	27,997	28,012	28,027	28,042	28,057	28,072
1590	28,087	28,102	28,117	28,132	28,146	28,161	28,176	28,191	28,206	28,221
1600	28,236	28,250	28,265	28,280	28,295	28,310	28,324	28,339	28,354	28,369
1610	28,384	28,398	28,413	28,428	28,443	28,457	28,472	28,487	28,502	28,516
1620	28,531	28,546	28,560	28,575	28,590	28,604	28,619	28,634	28,648	28,663
1630	28,678	28,692	28,707	28,722	28,736	28,751	28,765	28,780	28,795	28,809
1640	28,824	28,838	28,853	28,868	28,882	28,897	28,911	28,926	28,940	28,955
1650	28,969	28,984	28,998	29,013	29,027	29,042	29,056	29,071	29,085	29,100
1660	29,114	29,129	29,143	29,158	29,172	29,187	29,201	29,215	29,230	29,244
1670	29,259	29,273	29,287	29,302	29,316	29,331	29,345	29,359	29,374	29,388
1680	29,402	29,417	29,431	29,445	29,460	29,474	29,488	29,503	29,517	29,531
1690	29,546	29,560	29,574	29,588	29,603	29,617	29,631	29,645	29,660	29,674
1700	29,688	29,702	29,716	29,731	29,745	29,759	29,773	29,787	29,802	29,816
1710	29,830	29,844	29,858	29,872	29,886	29,901	29,915	29,929	29,943	29,957
1720	29,971	29,985	29,999	30,013	30,027	30,041	30,056	30,070	30,084	30,098
1730	30,112	30,126	30,140	30,154	30,168	30,182	30,196	30,210	30,224	30,238
1740	30,252	30,266	30,280	30,294	30,308	30,321	30,335	30,349	30,363	30,377
1750	30,391	30,405	30,419	30,433	30,447	30,460	30,474	30,488	30,502	30,516
1760	30,530	30,544	30,557	30,571	30,585	30,599	30,613	30,627	30,640	30,654
1770	30,668	30,682	30,695	30,709	30,723	30,737	30,750	30,764	30,778	30,792
1780	30,805	30,819	30,833	30,846	30,860	30,874	30,887	30,901	30,915	30,928
1790	30,942	30,956	30,969	30,983	30,997	31,010	31,024	31,038	31,051	31,065
1800	31,078	31,092	31,105	31,119	31,133	31,146	31,160	31,173	31,187	31,200
1810	31,214	31,227	31,241	31,254	31,268	31,281	31,295	31,308	31,322	31,335
1820	31,349	31,362	31,376	31,389	31,403	31,416	31,429	31,443	31,456	31,470
1830	31,483	31,496	31,510	31,523	31,536	31,550	31,563	31,577	31,590	31,603
1840	31,617	31,630	31,643	31,656	31,670	31,683	31,696	31,710	31,723	31,736
1850	31,749	31,763	31,776	31,789	31,802	31,816	31,829	31,842	31,855	31,869
1860	31,882	31,895	31,908	31,921	31,934	31,948	31,961	31,974	31,987	32,000
1870	32,013	32,026	32,040	32,053	32,066	32,079	32,092	32,105	32,118	32,131
1880	32,144	32,157	32,170	32,183	32,196	32,209	32,222	32,235	32,248	32,261
1890	32,274	32,287	32,300	32,313	32,326	32,339	32,352	32,365	32,378	32,391
1900	32,404	32,417	32,430	32,443	32,456	32,468	32,481	32,494	32,507	32,520
1910	32,533	32,546	32,558	32,571	32,584	32,597	32,610	32,623	32,635	32,648
1920	32,661	32,674	32,686	32,699	32,712	32,725	32,737	32,750	32,763	32,776
1930	32,788	32,801	32,814	32,826	32,839	32,852	32,864	32,877	32,890	32,902
1940	32,915	32,928	32,940	32,953	32,966	32,978	32,991	33,003	33,016	33,028
1950	33,041	33,054	33,066	33,079	33,091	33,104	33,116	33,129	33,141	33,154
1960	33,166	33,179	33,191	33,204	33,216	33,229	33,241	33,254	33,266	33,278
1970	33,291	33,303	33,316	33,328	33,341	33,353	33,365	33,378	33,390	33,402
1980	33,415	33,427	33,439	33,452	33,464	33,476	33,489	33,501	33,513	33,525
1990	33,538	33,550	33,562	33,575	33,587	33,599	33,611	33,623	33,636	33,648
2000	33,660	33,672	33,684	33,697	33,709	33,721	33,733	33,745	33,757	33,769
2010	33,782	33,794	33,806	33,818	33,830	33,842	33,854	33,866	33,878	33,890
2020	33,902	33,914	33,926	33,938	33,950	33,962	33,974	33,986	33,998	34,010
2030	34,022	34,034	34,046	34,058	34,070	34,082	34,094	34,106	34,118	34,130
2040	34,142	34,153	34,165	34,177	34,189	34,201	34,213	34,225	34,236	34,248
2050	34,260	34,272	34,284	34,295	34,307	34,319	34,331	34,342	34,354	34,366
2060	34,378	34,389	34,401	34,413	34,424	34,436	34,448	34,459	34,471	34,483
2070	34,494	34,506	34,518	34,529	34,541	34,552	34,564	34,576	34,587	34,599
2080	34,610	34,622	34,633	34,645	34,656	34,668	34,679	34,691	34,702	34,714
2090	34,725	34,737	34,748	34,760	34,771	34,782	34,794	34,805	34,817	34,828
2100	34,839	34,851	34,862	34,874	34,885	34,896	34,908	34,919	34,930	34,942
2110	34,953	34,964	34,975	34,987	34,998	35,009	35,020	35,032	35,043	35,054
2120	35,065	35,077	35,088	35,099	35,110	35,121	35,132	35,144	35,155	35,166
2130	35,177	35,188	35,199	35,210	35,221	35,232	35,243	35,254	35,265	35,277
2140	35,288	35,299	35,310	35,321	35,332	35,343	35,353	35,364	35,375	35,386
2150	35,397	35,408	35,419	35,430	35,441	35,452	35,463	35,474	35,484	35,495
2160	35,506	35,517	35,528	35,539	35,549	35,560	35,571	35,582	35,592	35,603
2170	35,614	35,625	35,635	35,646	35,657	35,668	35,678	35,689	35,700	35,710
2180	35,721	35,731	35,742	35,753	35,763	35,774	35,784	35,795	35,806	35,816
2190	35,827	35,837	35,848	35,858	35,869	35,879	35,890	35,900	35,911	35,921
2200	35,932	35,942	35,953	35,963	35,973	35,984	35,994	36,004	36,015	36,025
2210	36,036	36,046	36,056	36,067	36,077	36,087	36,097	36,108	36,118	36,128
2220	36,138	36,149	36,159	36,169	36,179	36,189	36,200	36,210	36,220	36,230
2230	36,240	36,250	36,260	36,271	36,281	36,291	36,301	36,311	36,321	36,331
2240	36,341	36,351	36,361	36,371	36,381	36,391	36,401	36,411	36,421	36,431
2250	36,441	36,451	36,460	36,470	36,480	36,490	36,500	36,510	36,520	36,529
2260	36,539	36,549	36,559	36,569	36,578	36,588	36,598	36,608	36,617	36,627
2270	36,637	36,646	36,656	36,666	36,675	36,685	36,695	36,704	36,714	36,723
2280	36,733	36,743	36,752	36,762	36,771	36,781	36,790	36,800	36,809	36,819
2290	36,828	36,838	36,847	36,857	36,866	36,875	36,885	36,894	36,903	36,913
2300	36,922	36,932	36,941	36,950	36,959	36,969	36,978	36,987	36,997	37,006
2310	37,015	37,024	37,033	37,043	37,052	37,061	37,070	37,079	37,088	37,097
2320	37,107									
